1	UtahState	13	30	909	30.30	2	2.3	69.9
2	AppalachianState	13	23	663	28.83	1	1.8	51.0
3	UCLA	12	9	248	27.56	1	0.8	20.7
4	Iowa	13	30	820	27.33	0	2.3	63.1
5	WashingtonState	13	26	705	27.12	1	2.0	54.2
6	FloridaAtlantic	12	28	722	25.79	1	2.3	60.2
7	Miami(OH)	12	34	874	25.71	1	2.8	72.8
8	Virginia	13	32	814	25.44	1	2.5	62.6
9	Troy	13	37	925	25.00	1	2.8	71.2
10	SMU	12	41	1023	24.95	1	3.4	85.3
10	TexasA&M	13	22	549	24.95	1	1.7	42.2
12	PennState	13	26	643	24.73	0	2.0	49.5
13	LSU	13	18	444	24.67	0	1.4	34.2
14	GeorgiaTech	13	28	689	24.61	2	2.2	53.0
15	Rice	13	37	903	24.41	0	2.8	69.5
16	Pittsburgh	14	26	634	24.38	2	1.9	45.3
17	Louisiana	14	50	1207	24.14	0	3.6	86.2
18	Maryland	12	40	959	23.98	2	3.3	79.9
19	BostonCollege	12	47	1117	23.77	0	3.9	93.1
19	Alabama	15	22	523	23.77	1	1.5	34.9
21	TexasTech	12	35	830	23.71	0	2.9	69.2
22	Ohio	13	40	948	23.70	1	3.1	72.9
22	NorthTexas	13	23	545	23.70	1	1.8	41.9
24	MichiganState	13	19	450	23.68	0	1.5	34.6
25	SouthFlorida	13	49	1157	23.61	2	3.8	89.0
26	Minnesota	13	29	679	23.41	0	2.2	52.2
27	Miami(FL)	13	29	673	23.21	0	2.2	51.8
28	California	13	35	811	23.17	1	2.7	62.4
29	Arkansas	12	23	530	23.04	0	1.9	44.2
30	Georgia	14	20	457	22.85	0	1.4	32.6
31	Oklahoma	14	37	841	22.73	0	2.6	60.1
32	Clemson	15	20	454	22.70	0	1.3	30.3
33	Louisville	12	44	997	22.66	1	3.7	83.1
33	USC	12	29	657	22.66	0	2.4	54.8
35	Temple	13	48	1087	22.65	1	3.7	83.6
36	VirginiaTech	13	41	928	22.63	0	3.2	71.4
37	KentState	12	31	699	22.55	0	2.6	58.3
38	Tulane	13	36	808	22.44	0	2.8	62.2
39	BoiseState	13	28	621	22.18	1	2.2	47.8
40	SanJoseState	12	39	860	22.05	0	3.3	71.7
41	SouthAlabama	12	38	837	22.03	0	3.2	69.8
42	IowaState	13	33	726	22.00	0	2.5	55.8
43	Stanford	13	32	695	21.72	0	2.5	53.5
44	Northwestern	14	17	369	21.71	0	1.2	26.4
45	Hawai'i	14	40	866	21.65	0	2.9	61.9
45	GeorgiaSouthern	13	26	563	21.65	0	2.0	43.3
47	ArkansasState	13	32	689	21.53	0	2.5	53.0
48	Auburn	13	21	452	21.52	1	1.6	34.8
49	SouthCarolina	13	38	814	21.42	1	2.9	62.6
50	NorthCarolina	11	34	723	21.26	0	3.1	65.7
51	NotreDame	13	13	276	21.23	0	1.0	21.2
52	TexasState	12	28	591	21.11	0	2.3	49.3
53	NewMexicoState	12	36	758	21.06	3	3.0	63.2
54	Houston	13	23	484	21.04	0	1.8	37.2
55	TCU	13	34	712	20.94	1	2.6	54.8
56	Mississippi	12	21	438	20.86	1	1.8	36.5
57	Colorado	12	24	499	20.79	0	2.0	41.6
58	Tennessee	12	18	374	20.78	0	1.5	31.2
59	MississippiState	13	21	436	20.76	0	1.6	33.5
60	UAB	14	28	581	20.75	0	2.0	41.5
61	Kentucky	13	26	539	20.73	0	2.0	41.5
62	WesternKentucky	12	34	699	20.56	0	2.8	58.3
63	NorthCarolinaState	13	20	411	20.55	0	1.5	31.6
64	ColoradoState	12	38	776	20.42	0	3.2	64.7
65	GeorgiaState	12	17	346	20.35	0	1.4	28.8
66	Texas	14	21	427	20.33	0	1.5	30.5
67	FresnoState	14	24	487	20.29	0	1.7	34.8
68	SouthernMississippi	11	26	527	20.27	0	2.4	47.9
69	WakeForest	13	25	506	20.24	0	1.9	38.9
70	Oregon	13	34	686	20.18	0	2.6	52.8
71	Toledo	13	38	755	19.87	1	2.9	58.1
72	UTSA	12	34	675	19.85	0	2.8	56.3
73	OldDominion	12	38	754	19.84	0	3.2	62.8
74	Michigan	13	27	533	19.74	1	2.1	41.0
75	SanDiegoState	13	32	631	19.72	0	2.5	48.5
76	OregonState	12	41	807	19.68	0	3.4	67.3
77	Missouri	13	17	334	19.65	0	1.3	25.7
78	FloridaState	12	33	648	19.64	0	2.8	54.0
78	Vanderbilt	13	33	648	19.64	0	2.5	49.8
80	Massachusetts	12	51	1000	19.61	1	4.3	83.3
80	Kansas	12	23	451	19.61	0	1.9	37.6
82	OklahomaState	13	29	568	19.59	0	2.2	43.7
